Session_Time,Participant,Group,Type,Phasic_Mean,Tonic_Mean
2024-03-13 14:06:35.894375,1qwm4iwc,GroupC,Baseline,-0.17109983622273905,2547.610014056259
2024-03-13 14:06:35.894375,1qwm4iwc,GroupC,Window 1,-0.3355000963327567,3346.0546527906413
2024-03-13 14:06:35.894375,1qwm4iwc,GroupC,Window 2,-0.5702614216999379,3401.6794669855162
2024-03-13 14:06:35.894375,1qwm4iwc,GroupC,Window 3,0.2646336099785492,4124.019752544642
2024-03-13 14:06:35.894375,1qwm4iwc,GroupC,Window 4,-3.1044375388697616,4755.387950537913
2024-03-13 14:06:35.894375,1qwm4iwc,GroupC,Window 5,3.6758701320636042,5528.419415994111
2024-03-13 14:06:35.894375,1qwm4iwc,GroupC,Window 6,-0.47254110076011063,5242.0208404615
2024-03-13 14:06:55.997725,vy5eckgs,GroupC,Baseline,10.329143067786163,22898.624117300224
2024-03-13 14:06:55.997725,vy5eckgs,GroupC,Window 1,3.6896932802524987,23517.94531735595
2024-03-13 14:06:55.997725,vy5eckgs,GroupC,Window 2,-0.6911671157484098,22911.946003000958
2024-03-13 14:06:55.997725,vy5eckgs,GroupC,Window 3,2.415630370044074,22011.08902016561
2024-03-13 14:06:55.997725,vy5eckgs,GroupC,Window 4,-4.196794481746807,18607.123004802877
2024-03-13 14:06:55.997725,vy5eckgs,GroupC,Window 5,-2.0698007091950172,21851.87989123141
2024-03-13 14:06:55.997725,vy5eckgs,GroupC,Window 6,12.436460182205385,31267.771896583752
2024-03-13 14:07:07.282319,nwml5w8o,GroupC,Baseline,0.0656375026201315,666.6642458934294
2024-03-13 14:07:07.282319,nwml5w8o,GroupC,Window 1,0.06380145470670355,538.9791374769584
2024-03-13 14:07:07.282319,nwml5w8o,GroupC,Window 2,0.03875996687566674,464.8416589964257
2024-03-13 14:07:07.282319,nwml5w8o,GroupC,Window 3,-0.08466233349549294,443.4853629587096
2024-03-13 14:07:07.282319,nwml5w8o,GroupC,Window 4,0.007162671888232608,356.8841167420518
2024-03-13 14:07:07.282319,nwml5w8o,GroupC,Window 5,-0.035938425460268444,325.79543041003944
2024-03-13 14:07:07.282319,nwml5w8o,GroupC,Window 6,0.003785746870062717,410.61134833352133
2024-03-13 14:07:19.813810,smtfk53l,GroupC,Baseline,0.20374401336984393,472.90362659950273
2024-03-13 14:07:19.813810,smtfk53l,GroupC,Window 1,0.36980282882449883,603.1122233243049
2024-03-13 14:07:19.813810,smtfk53l,GroupC,Window 2,-0.08875425146112507,472.50595368333336
2024-03-13 14:07:19.813810,smtfk53l,GroupC,Window 3,-0.009691305298552198,273.71802552833253
2024-03-13 14:07:19.813810,smtfk53l,GroupC,Window 4,-0.0009708699592048832,234.6103165954149
2024-03-13 14:07:19.813810,smtfk53l,GroupC,Window 5,-0.001562855012297164,208.47959983704195
2024-03-13 14:07:19.813810,smtfk53l,GroupC,Window 6,0.0035744210770029187,197.0651543180632
2024-03-13 14:07:43.060564,p1nxdrg9,GroupC,Baseline,-4.9432461247326565,30054.70321556818
2024-03-13 14:07:43.060564,p1nxdrg9,GroupC,Window 1,4.469991624696003,30767.070774765656
2024-03-13 14:07:43.060564,p1nxdrg9,GroupC,Window 2,5.365324497789818,37176.848406148114
2024-03-13 14:07:43.060564,p1nxdrg9,GroupC,Window 3,-10.89849524133666,36297.27276131933
2024-03-13 14:07:43.060564,p1nxdrg9,GroupC,Window 4,-16.946200471891707,35275.8566330402
2024-03-13 14:07:43.060564,p1nxdrg9,GroupC,Window 5,15.255013609709078,33912.48152546676
2024-03-13 14:07:43.060564,p1nxdrg9,GroupC,Window 6,3.3875229357324126,36430.45044463713
